No.,Longitude,Latitude,Climate,MAT (C),MAP(mm),Ecosystem,Restoration time (years),Soil depth (cm),Ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
46,105.4,29.65,Subtropical,17.7,1117,Forest,12,2.5,4.84,1.0001,0.5886,-0.3153,0.8901,-0.8569,,,,,,,
47,105.4,29.65,Subtropical,17.7,1117,Forest,12,7.5,4.14,0.6041,0.3179,-0.3169,0.4931,-0.566,,,,,,,
48,105.4,29.65,Subtropical,17.7,1117,Forest,12,15,3.1,0.6702,0.191,-0.3976,0.2063,-0.6865,,,,,,,
49,105.4,29.65,Subtropical,17.7,1117,Forest,12,30,2.3,0.2025,0.2574,-0.2182,0.3937,-0.6804,,,,,,,
50,105.38,29.63,Subtropical,17.7,1117,Forest,12,5,2.6,0.1677,-0.0373,-0.1844,,,,,,,,,
51,106.62,29.65,Subtropical,16.17,885,Non-forest,1,10,11.89,0.0569,-0.0062,,0.0975,,,,,,,,
52,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,10,3.21,0.7164,0.8717,-0.1818,0.0683,-0.9558,,,,,,,
53,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,10,3.21,1.3479,1.1861,-0.2597,0.2113,-0.3395,,,,,,,
54,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,10,3.21,0.2789,0.3381,-0.4155,-0.6138,-1.6134,,,,,,,
55,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,10,3.21,0.6957,0.3827,-0.325,-0.1658,-1.7484,,,,,,,
56,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,10,3.21,0.9206,0.8795,-0.2357,-0.3159,-2.2207,,,,,,,
57,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,10,3.21,0.8673,0.9282,-0.2549,-0.8055,-2.173,,,,,,,
58,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,30,4.94,0.0938,0.2831,-0.3851,-0.47,-1.645,,,,,,,
59,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,30,4.94,0.3655,0.5016,-0.5156,-0.4305,-1.0325,,,,,,,
60,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,30,4.94,-0.0447,-0.0311,-1.0074,-0.7449,-2.4049,,,,,,,
61,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,30,4.94,-0.1199,-0.2887,-0.8739,-1.0856,-3.429,,,,,,,
62,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,30,4.94,0.2445,0.3755,-0.4234,-0.4305,-2.56,,,,,,,
63,106.33,30.11,Subtropical,18.1,1116.4,Forest,8,30,4.94,-0.1038,-0.047,-0.3374,-1.2902,-3.429,,,,,,,
64,106.23,28.97,Subtropical,18.4,1030.7,Non-forest,6,10,3.67,0.192,0.1706,0.0509,0.2662,0.6868,,,,,,,
65,106.23,28.97,Subtropical,18.4,1030.7,Non-forest,6,10,3.67,0.3761,0.4435,0.7116,0.3573,0.6057,,,,,,,
