No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (¡ãC),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase,Climate
688,134,Shi et al. 2018,111.83,40.41,5.6,417.57,Non-forest,1.0,15.0,22.71,0.0066,,,,0.6887,,,,,,,,Temperate
689,134,Shi et al. 2018,111.83,40.41,5.6,417.57,Non-forest,1.0,15.0,22.71,0.0304,,,,0.6456,,,,,,,,Temperate
690,134,Shi et al. 2018,111.83,40.41,5.6,417.57,Non-forest,1.0,15.0,22.71,-0.0182,,,,0.9819,,,,,,,,Temperate
691,135,Shi 2018,111.83,40.41,5.6,417.57,Non-forest,3.0,2.5,8.52,-0.1614,-0.1284,-0.21,0.0183,-1.1731,,,,,,,,Temperate
692,135,Shi 2018,111.83,40.41,5.6,417.57,Non-forest,5.0,2.5,8.52,0.0724,0.0471,-0.3342,0.4141,-1.3151,,,,,,,,Temperate
693,135,Shi 2018,111.83,40.41,5.6,417.57,Non-forest,3.0,7.5,7.72,-0.2706,-0.2157,-0.1935,-0.5506,-1.244,,,,,,,,Temperate
694,135,Shi 2018,111.83,40.41,5.6,417.57,Non-forest,5.0,7.5,7.72,-0.399,-0.1793,-0.1768,-0.0797,-1.3089,,,,,,,,Temperate
695,135,Shi 2018,111.83,40.41,5.6,417.57,Non-forest,3.0,15.0,3.28,0.0121,-0.2336,-0.1138,-0.2884,-0.37,,,,,,,,Temperate
696,135,Shi 2018,111.83,40.41,5.6,417.57,Non-forest,5.0,15.0,3.28,0.3207,0.0,-0.2151,-0.065,-0.3609,,,,,,,,Temperate
697,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,4.0,10.0,14.1,0.3087,,,,,,,,,,,,Subtropical
698,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,5.0,10.0,12.6,0.416,,,,,,,,,,,,Subtropical
699,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,6.0,10.0,14.1,0.3344,,,,,,,,,,,,Subtropical
700,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,7.0,10.0,14.3,0.522,,,,,,,,,,,,Subtropical
701,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,8.0,10.0,14.2,0.7345,,,,,,,,,,,,Subtropical
702,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,4.0,30.0,11.8,0.5425,,,,,,,,,,,,Subtropical
703,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,5.0,30.0,8.9,0.8047,,,,,,,,,,,,Subtropical
704,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,6.0,30.0,10.2,0.7174,,,,,,,,,,,,Subtropical
705,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,7.0,30.0,11.3,0.6479,,,,,,,,,,,,Subtropical
706,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,8.0,30.0,11.0,0.7067,,,,,,,,,,,,Subtropical
707,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,4.0,50.0,5.0,0.9858,,,,,,,,,,,,Subtropical
708,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,5.0,50.0,4.2,1.1375,,,,,,,,,,,,Subtropical
709,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,6.0,50.0,4.2,1.0415,,,,,,,,,,,,Subtropical
710,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,7.0,50.0,3.8,1.2603,,,,,,,,,,,,Subtropical
711,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,8.0,50.0,4.4,0.9432,,,,,,,,,,,,Subtropical
712,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,4.0,70.0,3.7,0.7198,,,,,,,,,,,,Subtropical
713,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,5.0,70.0,4.8,0.5355,,,,,,,,,,,,Subtropical
714,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,6.0,70.0,4.1,0.5905,,,,,,,,,,,,Subtropical
715,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,7.0,70.0,5.0,0.3221,,,,,,,,,,,,Subtropical
716,136,Wang et al. 2015,119.8,30.98,14.9,1031.0,Forest,8.0,70.0,4.1,0.7973,,,,,,,,,,,,Subtropical
717,137,Zheng et al. 2017,118.3,39.25,14.1,897.0,Forest,10.0,7.5,14.1,0.1075,0.069,,,,-0.7005,-0.3132,,,,,,Temperate
718,137,Zheng et al. 2017,118.3,39.25,14.1,897.0,Forest,15.0,7.5,14.1,0.216,0.1468,,,,-0.8857,-0.6915,,,,,,Temperate
719,137,Zheng et al. 2017,118.3,39.25,14.1,897.0,Forest,20.0,7.5,14.1,0.2442,0.2313,,,,-1.0624,-1.0607,,,,,,Temperate
720,138,Xiong et al. 2017,115.45,25.94,18.8,1400.0,Non-forest,,10.0,14.79,0.6004,0.2705,-1.0986,,,1.1299,0.9619,,,,,,Subtropical
721,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,2.5,16.92,-0.2012,-0.1503,,,,,,,,,,,Temperate
722,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,7.5,15.92,-0.1224,-0.1344,,,,,,,,,,,Temperate
723,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,12.5,14.67,-0.14,-0.1128,,,,,,,,,,,Temperate
724,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,17.5,14.83,-0.1913,-0.1707,,,,,,,,,,,Temperate
725,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,22.5,15.25,-0.1989,-0.1731,,,,,,,,,,,Temperate
726,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,27.5,14.67,-0.2288,-0.052,,,,,,,,,,,Temperate
727,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,32.5,13.58,-0.1379,-0.1279,,,,,,,,,,,Temperate
728,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,37.5,12.0,-0.0282,-0.1705,,,,,,,,,,,Temperate
729,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,42.5,11.5,-0.2638,-0.3643,,,,,,,,,,,Temperate
730,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,47.5,10.83,-0.2928,-0.4808,,,,,,,,,,,Temperate
731,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,52.5,8.17,-0.6147,-0.6931,,,,,,,,,,,Temperate
732,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,57.5,7.75,-0.1506,-0.1759,,,,,,,,,,,Temperate
733,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,62.5,7.08,-0.2838,-0.2959,,,,,,,,,,,Temperate
734,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,67.5,6.17,-0.2097,-0.2458,,,,,,,,,,,Temperate
735,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,72.5,5.5,-0.1823,-0.0408,,,,,,,,,,,Temperate
736,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,77.5,4.83,-0.2992,-0.5428,,,,,,,,,,,Temperate
737,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,82.5,4.33,-0.2624,-0.3267,,,,,,,,,,,Temperate
738,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,87.5,4.75,-0.4595,-0.3399,,,,,,,,,,,Temperate
739,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,92.5,3.75,-0.2803,0.1457,,,,,,,,,,,Temperate
740,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,97.5,3.67,-0.4169,-0.2452,,,,,,,,,,,Temperate
741,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,102.5,3.08,0.0267,0.0704,,,,,,,,,,,Temperate
742,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,107.5,2.67,0.0,-0.028,,,,,,,,,,,Temperate
743,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,112.5,2.67,-0.1699,0.0,,,,,,,,,,,Temperate
744,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,117.5,2.33,-0.0364,-0.2718,,,,,,,,,,,Temperate
745,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,122.5,1.67,0.2624,0.6486,,,,,,,,,,,Temperate
746,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,127.5,2.75,-0.2007,-0.1625,,,,,,,,,,,Temperate
747,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,132.5,2.25,0.0,0.0,,,,,,,,,,,Temperate
748,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,137.5,2.0,0.2231,0.2335,,,,,,,,,,,Temperate
749,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,142.5,2.08,0.3365,-0.0258,,,,,,,,,,,Temperate
750,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,147.5,2.0,0.3483,0.1081,,,,,,,,,,,Temperate
751,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,152.5,1.83,0.4353,0.1719,,,,,,,,,,,Temperate
752,139,Cong 2014,124.23,43.32,5.8,554.0,Forest,5.0,157.5,1.67,0.47,0.1495,,,,,,,,,,,Temperate
753,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,2.5,9.54,0.2279,0.0747,,,,,,,,,,,Temperate
754,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,7.5,8.93,-0.08,-0.0842,,,,,,,,,,,Temperate
755,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,12.5,7.4,-0.0104,0.0742,,,,,,,,,,,Temperate
756,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,17.5,6.64,0.0,-0.1624,,,,,,,,,,,Temperate
757,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,22.5,6.64,-0.2318,-0.2292,,,,,,,,,,,Temperate
758,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,27.5,6.79,-0.226,-0.2921,,,,,,,,,,,Temperate
759,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,32.5,6.18,-0.104,0.1098,,,,,,,,,,,Temperate
760,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,37.5,6.72,0.0,0.1727,,,,,,,,,,,Temperate
761,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,42.5,6.95,0.3944,0.2908,,,,,,,,,,,Temperate
762,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,47.5,7.48,-0.2809,0.0494,,,,,,,,,,,Temperate
763,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,52.5,7.1,-0.5436,-0.2787,,,,,,,,,,,Temperate
764,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,57.5,6.34,-0.4676,-0.1904,,,,,,,,,,,Temperate
765,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,62.5,5.65,-0.2097,-0.0801,,,,,,,,,,,Temperate
766,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,67.5,5.95,-0.0129,-0.0857,,,,,,,,,,,Temperate
767,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,72.5,8.02,-0.4951,-0.3273,,,,,,,,,,,Temperate
768,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,77.5,5.19,0.3023,0.3168,,,,,,,,,,,Temperate
769,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,82.5,5.73,0.2258,0.3029,,,,,,,,,,,Temperate
770,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,87.5,7.94,0.1005,0.1066,,,,,,,,,,,Temperate
771,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,92.5,8.63,0.4317,0.4476,,,,,,,,,,,Temperate
772,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,97.5,7.86,0.5186,0.596,,,,,,,,,,,Temperate
773,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,102.5,9.31,0.0788,0.2525,,,,,,,,,,,Temperate
774,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,107.5,13.82,-0.051,0.1622,,,,,,,,,,,Temperate
775,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,112.5,16.56,-0.5596,-0.3713,,,,,,,,,,,Temperate
776,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,117.5,14.89,-0.4608,-0.3228,,,,,,,,,,,Temperate
777,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,122.5,12.67,-0.3935,-0.2015,,,,,,,,,,,Temperate
778,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,127.5,11.91,-0.1299,0.1777,,,,,,,,,,,Temperate
779,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,132.5,12.21,-0.313,-0.1234,,,,,,,,,,,Temperate
780,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,137.5,12.21,0.1122,0.2451,,,,,,,,,,,Temperate
781,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,142.5,12.44,0.1427,0.2344,,,,,,,,,,,Temperate
782,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,147.5,10.92,0.1962,0.3335,,,,,,,,,,,Temperate
783,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,152.5,10.84,0.1681,0.3213,,,,,,,,,,,Temperate
784,139,Cong 2014,124.13,43.33,5.8,554.0,Forest,12.0,157.5,11.6,0.1801,0.3265,,,,,,,,,,,Temperate
785,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,2.5,12.89,0.0774,-0.0476,,,,,,,,,,,Temperate
786,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,7.5,9.11,0.2117,-0.1092,,,,,,,,,,,Temperate
787,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,12.5,9.11,0.1223,-0.2796,,,,,,,,,,,Temperate
788,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,17.5,9.48,0.1316,-0.1157,,,,,,,,,,,Temperate
789,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,22.5,8.44,0.1236,-0.4845,,,,,,,,,,,Temperate
790,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,27.5,8.22,0.1108,-0.4911,,,,,,,,,,,Temperate
791,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,32.5,7.48,0.2132,-0.2749,,,,,,,,,,,Temperate
792,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,37.5,7.78,0.1167,-0.2607,,,,,,,,,,,Temperate
793,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,42.5,7.41,0.1044,-0.3629,,,,,,,,,,,Temperate
794,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,47.5,7.48,0.1034,-0.244,,,,,,,,,,,Temperate
795,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,52.5,7.63,0.1444,-0.1698,,,,,,,,,,,Temperate
796,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,57.5,7.63,0.1444,-0.0809,,,,,,,,,,,Temperate
797,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,62.5,7.78,-0.0488,-0.0129,,,,,,,,,,,Temperate
798,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,67.5,7.04,-0.0541,0.0,,,,,,,,,,,Temperate
799,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,72.5,6.67,-0.069,-0.1007,,,,,,,,,,,Temperate
800,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,77.5,6.07,-0.076,0.0426,,,,,,,,,,,Temperate
801,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,82.5,5.78,-0.094,-0.1758,,,,,,,,,,,Temperate
802,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,87.5,5.41,-0.042,-0.1512,,,,,,,,,,,Temperate
803,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,92.5,5.33,-0.1023,-0.0392,,,,,,,,,,,Temperate
804,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,97.5,5.26,-0.0883,-0.3137,,,,,,,,,,,Temperate
805,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,102.5,5.19,-0.0896,-0.3001,,,,,,,,,,,Temperate
806,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,107.5,4.81,-0.1139,-0.2745,,,,,,,,,,,Temperate
807,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,112.5,4.74,-0.1515,-0.3137,,,,,,,,,,,Temperate
808,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,117.5,4.81,-0.2041,-0.3001,,,,,,,,,,,Temperate
809,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,122.5,4.74,-0.2671,-0.2542,,,,,,,,,,,Temperate
810,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,127.5,4.59,-0.3205,-0.2126,,,,,,,,,,,Temperate
811,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,132.5,4.59,-0.277,-0.2077,,,,,,,,,,,Temperate
812,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,137.5,4.52,-0.3267,-0.4238,,,,,,,,,,,Temperate
813,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,142.5,4.37,-0.2933,-0.191,,,,,,,,,,,Temperate
814,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,147.5,4.07,-0.3698,-0.383,,,,,,,,,,,Temperate
815,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,152.5,4.07,-0.3964,-0.2295,,,,,,,,,,,Temperate
816,139,Cong 2014,124.3,43.35,5.8,554.0,Forest,25.0,157.5,3.78,-0.4055,-0.2364,,,,,,,,,,,Temperate
817,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,2.5,35.81,0.3134,0.1709,,,,,,,,,,,Temperate
818,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,7.5,33.05,-0.1157,-0.0506,,,,,,,,,,,Temperate
819,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,15.0,19.15,0.0099,-0.0382,,,,,,,,,,,Temperate
820,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,25.0,11.82,0.0663,-0.174,,,,,,,,,,,Temperate
821,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,2.5,35.81,0.1031,-0.0741,,,,,,,,,,,Temperate
822,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,7.5,33.05,0.0015,-0.1477,,,,,,,,,,,Temperate
823,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,15.0,19.15,-0.3706,-0.616,,,,,,,,,,,Temperate
824,140,Wang et al. 2006,128.38,43.6,2.6,631.8,Forest,33.0,25.0,11.82,0.0479,-0.184,,,,,,,,,,,Temperate
825,141,Yu et al. 2017,123.52,44.55,5.9,427.0,Non-forest,5.0,5.0,8.14,0.3211,,,,,,,,0.7204,0.4478,0.1212,0.4016,Temperate
826,141,Yu et al. 2017,123.52,44.55,5.9,427.0,Non-forest,5.0,15.0,4.33,0.5408,,,,,,,,1.2561,0.1922,0.1521,0.3747,Temperate
827,142,Yu et al. 2017,123.52,44.55,5.9,427.0,Non-forest,1.0,5.0,8.14,0.2403,,,,,,,,0.6283,0.7894,0.0677,0.5171,Temperate
828,142,Yu et al. 2017,123.52,44.55,5.9,427.0,Non-forest,1.0,15.0,4.33,0.5021,,,,,,,,1.2224,0.3641,0.2174,0.4314,Temperate
829,142,Yu et al. 2017,123.52,44.55,5.9,427.0,Non-forest,5.0,5.0,8.14,0.2628,,,,,,,,0.735,0.1623,0.0807,0.412,Temperate
830,142,Yu et al. 2017,123.52,44.55,5.9,427.0,Non-forest,5.0,15.0,4.33,0.4955,,,,,,,,1.4036,0.2229,0.2345,0.1514,Temperate
831,143,Cai et al. 2013,122.5,42.0,7.8,563.5,Forest,10.0,10.0,,,-0.3417,-0.7985,-0.3421,-1.5986,,,,,,,,Temperate
832,143,Cai et al. 2013,122.5,42.0,7.8,563.5,Forest,10.0,30.0,,,-0.1603,-0.6061,-0.4129,-1.5134,,,,,,,,Temperate
833,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,5.0,7.5,7.83,-0.1221,-0.1737,,,,-0.4042,-0.7173,,,,,,Subtropical
834,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,10.0,7.5,7.83,-0.3018,-0.5705,,,,-0.3702,-0.496,,,,,,Subtropical
835,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,15.0,7.5,7.83,-0.0324,-0.1737,,,,-0.1862,-0.3918,,,,,,Subtropical
836,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,20.0,7.5,7.83,0.411,0.2085,,,,0.0329,-0.1,,,,,,Subtropical
837,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,5.0,22.5,3.62,0.4291,0.3536,,,,,,,,,,,Subtropical
838,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,10.0,22.5,3.62,0.0192,-0.1292,,,,,,,,,,,Subtropical
839,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,15.0,22.5,3.62,0.2987,0.1671,,,,,,,,,,,Subtropical
840,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,20.0,22.5,3.62,0.0538,-0.1292,,,,,,,,,,,Subtropical
841,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,5.0,37.5,3.26,0.0653,-0.1018,,,,,,,,,,,Subtropical
842,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,10.0,37.5,3.26,-0.3146,-0.4895,,,,,,,,,,,Subtropical
843,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,15.0,37.5,3.26,0.0992,-0.0667,,,,,,,,,,,Subtropical
844,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,20.0,37.5,3.26,0.4297,0.2036,,,,,,,,,,,Subtropical
845,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,5.0,52.5,1.71,0.3957,0.1625,,,,,,,,,,,Subtropical
846,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,10.0,52.5,1.71,0.3878,0.0572,,,,,,,,,,,Subtropical
847,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,15.0,52.5,1.71,0.6843,0.499,,,,,,,,,,,Subtropical
848,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,20.0,52.5,1.71,1.0466,0.7777,,,,,,,,,,,Subtropical
849,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,5.0,80.0,3.26,-0.2301,-0.2985,,,,,,,,,,,Subtropical
850,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,10.0,80.0,3.26,-0.5665,-0.6614,,,,,,,,,,,Subtropical
851,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,15.0,80.0,3.26,-0.145,-0.2559,,,,,,,,,,,Subtropical
852,144,"Mao et al. 2009, Mao et al. 2010",119.6,30.15,6.5,467.0,Forest,20.0,80.0,3.26,-0.1136,-0.3895,,,,,,,,,,,Subtropical
853,145,Liu 2003,106.47,36.02,6.9,420.0,Non-forest,,10.0,8.51,0.1229,0.0979,,-0.1946,-0.6424,,,,,,,,Temperate
854,145,Liu 2003,106.47,36.02,6.9,420.0,Non-forest,,30.0,6.26,0.0028,-0.0114,,0.0271,-0.0114,,,,,,,,Temperate
855,146,Cheng et al. 2010,106.48,36.03,7.0,420.0,Non-forest,,2.5,10.28,0.0581,-0.7691,,0.0188,-0.3581,-0.3765,0.3567,0.351,,,,,Temperate
856,146,Cheng et al. 2010,106.48,36.03,7.0,420.0,Non-forest,,12.5,9.76,0.0006,-0.0513,,0.0358,-0.3456,-0.0715,0.2651,0.7994,,,,,Temperate
857,146,Cheng et al. 2010,106.48,36.03,7.0,420.0,Non-forest,,30.0,8.03,0.032,0.1881,,0.0828,-0.33,-0.4906,-0.727,0.7392,,,,,Temperate
858,147,Jing et al. 2014,106.28,36.0,7.0,425.0,Forest,20.0,10.0,2.33,0.1657,-0.529,-0.3709,,-0.6371,,,,,,,,Temperate
859,148,Jing et al. 2014,106.28,36.0,7.0,425.0,Non-forest,20.0,10.0,2.33,-0.0173,-0.8015,-0.1851,,-0.9447,,,,,,,,Temperate
860,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,5.0,5.0,13.8,0.0323,-0.4476,-0.1178,,-0.1491,,,,,,,,Temperate
861,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,10.0,5.0,13.8,-0.0558,-0.6331,-0.1823,,-0.4916,,,,,,,,Temperate
862,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,15.0,5.0,13.8,0.0212,-0.6727,-0.1823,,-0.704,,,,,,,,Temperate
863,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,20.0,5.0,13.8,-0.0346,-1.0484,-0.1823,,-0.7669,,,,,,,,Temperate
864,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,5.0,15.0,13.49,0.0523,-0.5748,-0.1823,,-0.2124,,,,,,,,Temperate
865,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,10.0,15.0,13.49,-0.0543,-0.8028,-0.1823,,-0.6642,,,,,,,,Temperate
866,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,15.0,15.0,13.49,-0.0156,-0.961,-0.2513,,-0.7751,,,,,,,,Temperate
867,148,Jin et al. 2014a,106.47,36.02,6.9,420.0,Non-forest,20.0,15.0,13.49,-0.016,-1.0198,-0.1823,,-0.7293,,,,,,,,Temperate
868,149,Liu 2003,106.47,36.02,6.9,420.0,Non-forest,,10.0,8.51,-0.0241,0.0893,,0.0269,-1.1208,,,,,,,,Temperate
869,149,Liu 2003,106.47,36.02,6.9,420.0,Non-forest,,30.0,6.26,0.0886,-0.1335,,0.0913,-0.3478,,,,,,,,Temperate
870,149,An and Huang 2006,106.47,36.01,7.0,420.0,Non-forest,18.0,10.0,4.95,0.7451,1.2879,,0.7676,0.022,,,,0.5663,0.6708,0.0312,0.3862,Temperate
871,149,An and Huang 2006,106.47,36.01,7.0,420.0,Non-forest,8.0,10.0,4.95,0.6519,0.3185,,0.6028,0.0055,,,,0.5065,0.5754,0.067,0.6064,Temperate
872,149,An and Huang 2006,106.47,36.01,7.0,420.0,Non-forest,18.0,30.0,4.35,0.2807,0.8473,,0.7715,-0.0122,,,,-0.2831,1.1356,0.2351,0.3743,Temperate
