No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (¡ãC),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase,Climate
37,7,Qin et al. 2017,108.14,30.41,19.2,1172.0,Non-forest,3.0,10.0,3.35,0.6158,0.2364,-0.2364,0.2477,-0.8815,,,,,,,,Subtropical
38,8,Chen et al. 2013,108.13,30.41,18.2,1200.0,Forest,8.0,10.0,5.03,0.4531,0.5568,0.4769,0.3389,-0.4154,,,,,,,,Subtropical
39,8,Zhu 2012,108.17,30.41,19.2,1150.0,Forest,3.0,10.0,5.88,-0.0781,-0.0888,0.6306,-0.4769,-0.4939,,,,,,,,Subtropical
40,8,Qin et al. 2017,108.14,30.41,19.2,1172.0,Forest,3.0,10.0,3.35,0.9009,0.6152,-0.0132,0.5465,0.4222,,,,,,,,Subtropical
41,9,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Non-forest,8.0,2.5,4.84,0.2997,0.0403,-0.3051,0.0541,-0.4101,,,,,,,,Subtropical
42,9,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Non-forest,8.0,7.5,4.14,0.0659,-0.1552,-0.1947,-0.1031,-0.6539,,,,,,,,Subtropical
43,9,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Non-forest,8.0,15.0,3.1,0.1798,-0.1113,-0.2759,-0.3599,-0.5814,,,,,,,,Subtropical
44,9,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Non-forest,8.0,30.0,2.3,-0.5245,-0.1524,-0.303,-0.1965,-0.3433,,,,,,,,Subtropical
45,9,Li et al. 2009,105.38,29.63,17.7,1117.0,Non-forest,8.0,5.0,2.6,0.8514,0.5631,-0.2498,,,,,,,,,,Subtropical
46,10,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Forest,12.0,2.5,4.84,1.0001,0.5886,-0.3153,0.8901,-0.8569,,,,,,,,Subtropical
47,10,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Forest,12.0,7.5,4.14,0.6041,0.3179,-0.3169,0.4931,-0.566,,,,,,,,Subtropical
48,10,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Forest,12.0,15.0,3.1,0.6702,0.191,-0.3976,0.2063,-0.6865,,,,,,,,Subtropical
49,10,Zheng et al. 2008,105.4,29.65,17.7,1117.0,Forest,12.0,30.0,2.3,0.2025,0.2574,-0.2182,0.3937,-0.6804,,,,,,,,Subtropical
50,10,Li et al. 2009,105.38,29.63,17.7,1117.0,Forest,12.0,5.0,2.6,0.1677,-0.0373,-0.1844,,,,,,,,,,Subtropical
51,11,Ren et al. 2010,106.62,29.65,16.17,885.0,Non-forest,1.0,10.0,11.89,0.0569,-0.0062,,0.0975,,,,,,,,,Subtropical
52,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,10.0,3.21,0.7164,0.8717,-0.1818,0.0683,-0.9558,,,,,,,,Subtropical
53,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,10.0,3.21,1.3479,1.1861,-0.2597,0.2113,-0.3395,,,,,,,,Subtropical
54,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,10.0,3.21,0.2789,0.3381,-0.4155,-0.6138,-1.6134,,,,,,,,Subtropical
55,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,10.0,3.21,0.6957,0.3827,-0.325,-0.1658,-1.7484,,,,,,,,Subtropical
56,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,10.0,3.21,0.9206,0.8795,-0.2357,-0.3159,-2.2207,,,,,,,,Subtropical
57,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,10.0,3.21,0.8673,0.9282,-0.2549,-0.8055,-2.173,,,,,,,,Subtropical
58,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,30.0,4.94,0.0938,0.2831,-0.3851,-0.47,-1.645,,,,,,,,Subtropical
59,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,30.0,4.94,0.3655,0.5016,-0.5156,-0.4305,-1.0325,,,,,,,,Subtropical
60,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,30.0,4.94,-0.0447,-0.0311,-1.0074,-0.7449,-2.4049,,,,,,,,Subtropical
61,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,30.0,4.94,-0.1199,-0.2887,-0.8739,-1.0856,-3.429,,,,,,,,Subtropical
62,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,30.0,4.94,0.2445,0.3755,-0.4234,-0.4305,-2.56,,,,,,,,Subtropical
63,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8.0,30.0,4.94,-0.1038,-0.047,-0.3374,-1.2902,-3.429,,,,,,,,Subtropical
64,13,Qiang et al. 2014,106.23,28.97,18.4,1030.7,Non-forest,6.0,10.0,3.67,0.192,0.1706,0.0509,0.2662,0.6868,,,,,,,,Subtropical
65,13,Qiang et al. 2014,106.23,28.97,18.4,1030.7,Non-forest,6.0,10.0,3.67,0.3761,0.4435,0.7116,0.3573,0.6057,,,,,,,,Subtropical
66,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5.0,2.5,4.72,0.2808,0.1823,,,,,,,,,,,Temperate
67,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5.0,2.5,2.62,0.507,0.4238,,,,,,,,,,,Temperate
68,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5.0,7.5,4.37,0.1796,0.0,,,,,,,,,,,Temperate
69,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5.0,7.5,2.02,0.1428,0.1292,,,,,,,,,,,Temperate
70,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5.0,15.0,3.98,0.1316,0.0,,,,,,,,,,,Temperate
71,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5.0,15.0,1.69,0.1533,0.1054,,,,,,,,,,,Temperate
72,15,Zhang et al. 2012,105.72,34.58,,540.0,Forest,9.0,10.0,5.08,0.2738,0.4618,-0.7027,0.4739,0.1449,,,,,,,,Subtropical
73,15,Zhang et al. 2012,105.72,34.58,,540.0,Forest,9.0,30.0,3.15,0.464,0.3533,-0.2877,0.8762,0.3439,,,,,,,,Subtropical
74,16,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Non-forest,6.0,10.0,5.23,0.9643,1.0686,,,,1.2189,1.3648,,,,,,Temperate
75,16,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Non-forest,6.0,10.0,5.15,0.9787,1.0081,,,,1.2189,1.0253,,,,,,Temperate
76,17,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Forest,50.0,10.0,5.23,0.9981,0.8963,,,,1.1889,1.3648,,,,,,Temperate
77,17,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Forest,6.0,10.0,5.23,0.5471,0.5436,,,,0.7732,1.1403,,,,,,Temperate
78,17,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Forest,50.0,10.0,5.15,1.0125,0.8358,,,,1.1889,1.0253,,,,,,Temperate
79,17,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Forest,6.0,10.0,5.15,0.5615,0.4831,,,,0.7732,0.8008,,,,,,Temperate
80,18,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Non-forest,6.0,10.0,5.23,0.5551,0.5076,,,,0.9361,1.3146,,,,,,Temperate
81,18,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Non-forest,6.0,10.0,5.15,0.5695,0.4471,,,,0.9361,0.9751,,,,,,Temperate
82,19,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Non-forest,20.0,10.0,5.23,0.502,0.4119,,,,0.9361,1.3969,,,,,,Temperate
83,19,Zhang et al. 2010b,104.48,35.77,6.7,390.0,Non-forest,20.0,10.0,5.15,0.5164,0.3513,,,,0.9361,1.0574,,,,,,Temperate
84,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,3.0,5.0,7.04,0.2923,0.5639,0.2323,,,0.3844,0.5493,,,,,,Temperate
85,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,5.0,5.0,7.04,0.3429,0.3851,0.1431,,,0.5685,0.4476,,,,,,Temperate
86,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,6.0,5.0,7.04,0.3698,0.4255,0.3142,,,0.6209,0.7716,,,,,,Temperate
87,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,9.0,5.0,7.04,0.348,0.3851,-0.08,,,0.2479,0.5053,,,,,,Temperate
88,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,10.0,5.0,7.04,0.3834,0.3953,-0.0313,,,0.2341,0.4151,,,,,,Temperate
89,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,26.0,5.0,7.04,0.5821,0.5017,-0.0473,,,1.0162,0.9639,,,,,,Temperate
90,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,3.0,20.0,6.64,0.3592,0.5895,-0.0323,,,-0.1341,-0.0319,,,,,,Temperate
91,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,5.0,20.0,6.64,0.3624,0.3429,0.1054,,,-0.1891,-0.1514,,,,,,Temperate
92,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,6.0,20.0,6.64,0.3582,0.3851,0.2263,,,-0.1812,0.1003,,,,,,Temperate
93,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,9.0,20.0,6.64,0.0105,0.073,-0.1178,,,-0.8068,-0.3185,,,,,,Temperate
94,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,10.0,20.0,6.64,0.2399,0.2171,-0.0827,,,-0.9084,-0.7681,,,,,,Temperate
95,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,26.0,20.0,6.64,0.4439,0.4255,-0.016,,,0.2745,0.0848,,,,,,Temperate
96,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,3.0,45.0,,,1.2498,0.6931,,,1.6345,1.5892,,,,,,Temperate
97,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,5.0,45.0,5.18,0.1148,0.63,0.3202,,,1.0343,1.0915,,,,,,Temperate
98,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,6.0,45.0,5.18,0.3925,0.539,0.4364,,,0.4331,1.5075,,,,,,Temperate
99,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,9.0,45.0,5.18,-0.1209,-0.0852,-0.1636,,,0.0495,0.8241,,,,,,Temperate
100,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,10.0,45.0,5.18,-0.0454,-0.0417,-0.019,,,0.0801,0.1301,,,,,,Temperate
101,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,26.0,45.0,5.18,0.5446,0.5508,0.1072,,,0.8906,1.0778,,,,,,Temperate
102,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,7.0,10.0,5.48,0.0288,-0.0328,,,-0.0332,-0.0454,0.0439,,0.0278,-0.0431,0.0574,,Temperate
103,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,11.0,10.0,5.48,0.117,-0.0841,,,-0.0574,0.0229,0.014,,-0.0564,0.008,0.0701,,Temperate
104,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,20.0,10.0,5.48,0.163,0.0924,,,-0.1718,0.1369,0.0771,,-0.0045,0.0785,0.0906,,Temperate
105,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,43.0,10.0,5.48,0.4657,0.3037,,,-0.0234,0.5545,0.4756,,0.186,0.1979,0.2261,,Temperate
106,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,7.0,30.0,4.15,0.0787,0.0706,,,-0.0399,0.0539,0.0344,,0.1113,0.0527,-0.0118,,Temperate
107,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,11.0,30.0,4.15,0.1517,0.1151,,,0.0553,0.1093,0.072,,-0.1424,0.0647,0.0317,,Temperate
108,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,20.0,30.0,4.15,0.2389,0.1576,,,-0.0775,0.1542,0.0928,,-0.0195,0.1121,0.0443,,Temperate
109,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,43.0,30.0,4.15,0.362,0.2938,,,0.0332,0.3761,0.3655,,0.2914,0.2655,0.2371,,Temperate
110,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,7.0,50.0,3.76,0.0027,-0.0588,,,-0.06,0.0611,0.0753,,-0.0288,0.0698,-0.0524,,Temperate
111,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,11.0,50.0,3.76,0.0743,0.0822,,,-0.013,0.174,0.1159,,-0.0585,0.057,0.0244,,Temperate
112,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,20.0,50.0,3.76,0.1388,0.2059,,,-0.0925,0.1569,0.0907,,-0.013,0.0787,0.0483,,Temperate
113,20,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,43.0,50.0,3.76,0.3068,0.3159,,,0.0255,0.3412,0.3193,,0.1396,0.224,0.1972,,Temperate
114,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,2.0,10.0,9.08,-0.1845,0.0212,0.4465,,0.0792,-0.2334,0.4494,,,,,,Temperate
115,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,3.0,10.0,9.08,-0.3236,-0.0072,0.3879,,0.2057,-0.1082,0.6128,,,,,,Temperate
116,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,7.0,10.0,9.08,-0.2995,0.0488,0.2325,,-0.1481,0.0318,0.3757,,,,,,Temperate
117,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,13.0,10.0,9.08,-0.5346,0.0071,0.116,,-0.3721,0.422,0.5235,,,,,,Temperate
118,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,19.0,10.0,9.08,-0.5252,-0.0664,0.1749,,-0.0837,0.456,0.6808,,,,,,Temperate
119,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,23.0,10.0,9.08,-0.0122,-0.1459,0.2137,,-0.0189,0.4065,0.9216,,,,,,Temperate
120,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,2.0,40.0,6.66,0.0164,0.2248,,,0.1102,,,,,,,,Temperate
121,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,3.0,40.0,6.66,0.3729,-0.0247,,,0.1914,,,,,,,,Temperate
122,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,7.0,40.0,6.66,-0.1263,0.1645,,,-0.0391,,,,,,,,Temperate
123,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,13.0,40.0,6.66,-0.5048,0.1223,,,-0.1272,,,,,,,,Temperate
124,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,19.0,40.0,6.66,-0.5098,0.2441,,,0.0601,,,,,,,,Temperate
125,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,23.0,40.0,6.66,0.1161,-0.0415,,,0.0983,,,,,,,,Temperate
126,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,2.0,80.0,4.34,0.7,0.0369,,,0.0736,,,,,,,,Temperate
127,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,3.0,80.0,4.34,1.0729,-0.0946,,,-0.0899,,,,,,,,Temperate
128,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,7.0,80.0,4.34,0.635,0.1722,,,0.2152,,,,,,,,Temperate
129,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,13.0,80.0,4.34,-0.3268,0.1335,,,-0.3766,,,,,,,,Temperate
130,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,19.0,80.0,4.34,0.1998,0.1269,,,-0.011,,,,,,,,Temperate
131,21,Jiang 2006,104.42,36.03,6.2,320.0,Non-forest,23.0,80.0,4.34,0.3869,-0.0863,,,-0.1594,,,,,,,,Temperate
132,21,Guo 2010,104.42,36.03,6.2,320.0,Non-forest,1.0,10.0,8.36,-0.0193,-0.0225,-1.2039,,-2.3786,,,,,,,,Temperate
133,21,Guo 2010,104.42,36.03,6.2,320.0,Non-forest,2.0,10.0,8.36,0.227,0.2793,-0.0319,,-1.457,,,,,,,,Temperate
134,21,Guo 2010,104.42,36.03,6.2,320.0,Non-forest,3.0,10.0,8.36,0.1801,0.1349,-0.2933,,0.2401,,,,,,,,Temperate
135,21,Guo 2010,104.42,36.03,6.2,320.0,Non-forest,4.0,10.0,8.36,0.0072,0.022,-0.026,,-0.6146,,,,,,,,Temperate
136,21,Guo 2010,104.42,36.03,6.2,320.0,Non-forest,5.0,10.0,8.36,0.197,0.173,-0.1915,,-0.2095,,,,,,,,Temperate
