No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (°„C),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
35,7,Lei et al. 2013,108.17,30.43,18.2,1172.1,Non-forest,2,30,7.42,0.0195,0.1812,-0.2863,-0.1081,-1.0561,NA,NA,NA,0,-0.0498,0.4087,-0.1872
36,7,Lei et al. 2013,108.17,30.43,18.2,1172.1,Non-forest,2,50,5.99,0.1823,0.0288,-0.0414,-0.0112,0.4055,NA,NA,NA,0.08,-0.1965,0.4285,-1.5261
37,7,Qin et al. 2017,108.14,30.41,19.2,1172,Non-forest,3,10,3.35,0.6158,0.2364,-0.2364,0.2477,-0.8815,NA,NA,NA,NA,NA,NA,NA
38,8,Chen et al. 2013,108.13,30.41,18.2,1200,Forest,8,10,5.03,0.4531,0.5568,0.4769,0.3389,-0.4154,NA,NA,NA,NA,NA,NA,NA
39,8,Zhu 2012,108.17,30.41,19.2,1150,Forest,3,10,5.88,-0.0781,-0.0888,0.6306,-0.4769,-0.4939,NA,NA,NA,NA,NA,NA,NA
40,8,Qin et al. 2017,108.14,30.41,19.2,1172,Forest,3,10,3.35,0.9009,0.6152,-0.0132,0.5465,0.4222,NA,NA,NA,NA,NA,NA,NA
41,9,Zheng et al. 2008,105.4,29.65,17.7,1117,Non-forest,8,2.5,4.84,0.2997,0.0403,-0.3051,0.0541,-0.4101,NA,NA,NA,NA,NA,NA,NA
42,9,Zheng et al. 2008,105.4,29.65,17.7,1117,Non-forest,8,7.5,4.14,0.0659,-0.1552,-0.1947,-0.1031,-0.6539,NA,NA,NA,NA,NA,NA,NA
43,9,Zheng et al. 2008,105.4,29.65,17.7,1117,Non-forest,8,15,3.1,0.1798,-0.1113,-0.2759,-0.3599,-0.5814,NA,NA,NA,NA,NA,NA,NA
44,9,Zheng et al. 2008,105.4,29.65,17.7,1117,Non-forest,8,30,2.3,-0.5245,-0.1524,-0.303,-0.1965,-0.3433,NA,NA,NA,NA,NA,NA,NA
45,9,Li et al. 2009,105.38,29.63,17.7,1117,Non-forest,8,5,2.6,0.8514,0.5631,-0.2498,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,10,Zheng et al. 2008,105.4,29.65,17.7,1117,Forest,12,2.5,4.84,1.0001,0.5886,-0.3153,0.8901,-0.8569,NA,NA,NA,NA,NA,NA,NA
47,10,Zheng et al. 2008,105.4,29.65,17.7,1117,Forest,12,7.5,4.14,0.6041,0.3179,-0.3169,0.4931,-0.566,NA,NA,NA,NA,NA,NA,NA
48,10,Zheng et al. 2008,105.4,29.65,17.7,1117,Forest,12,15,3.1,0.6702,0.191,-0.3976,0.2063,-0.6865,NA,NA,NA,NA,NA,NA,NA
49,10,Zheng et al. 2008,105.4,29.65,17.7,1117,Forest,12,30,2.3,0.2025,0.2574,-0.2182,0.3937,-0.6804,NA,NA,NA,NA,NA,NA,NA
50,10,Li et al. 2009,105.38,29.63,17.7,1117,Forest,12,5,2.6,0.1677,-0.0373,-0.1844,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,11,Ren et al. 2010,106.62,29.65,16.17,885,Non-forest,1,10,11.89,0.0569,-0.0062,NA,0.0975,NA,NA,NA,NA,NA,NA,NA,NA
52,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,10,3.21,0.7164,0.8717,-0.1818,0.0683,-0.9558,NA,NA,NA,NA,NA,NA,NA
53,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,10,3.21,1.3479,1.1861,-0.2597,0.2113,-0.3395,NA,NA,NA,NA,NA,NA,NA
54,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,10,3.21,0.2789,0.3381,-0.4155,-0.6138,-1.6134,NA,NA,NA,NA,NA,NA,NA
55,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,10,3.21,0.6957,0.3827,-0.325,-0.1658,-1.7484,NA,NA,NA,NA,NA,NA,NA
56,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,10,3.21,0.9206,0.8795,-0.2357,-0.3159,-2.2207,NA,NA,NA,NA,NA,NA,NA
57,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,10,3.21,0.8673,0.9282,-0.2549,-0.8055,-2.173,NA,NA,NA,NA,NA,NA,NA
58,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,30,4.94,0.0938,0.2831,-0.3851,-0.47,-1.645,NA,NA,NA,NA,NA,NA,NA
59,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,30,4.94,0.3655,0.5016,-0.5156,-0.4305,-1.0325,NA,NA,NA,NA,NA,NA,NA
60,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,30,4.94,-0.0447,-0.0311,-1.0074,-0.7449,-2.4049,NA,NA,NA,NA,NA,NA,NA
61,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,30,4.94,-0.1199,-0.2887,-0.8739,-1.0856,-3.429,NA,NA,NA,NA,NA,NA,NA
62,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,30,4.94,0.2445,0.3755,-0.4234,-0.4305,-2.56,NA,NA,NA,NA,NA,NA,NA
63,12,Kang et al. 2012,106.33,30.11,18.1,1116.4,Forest,8,30,4.94,-0.1038,-0.047,-0.3374,-1.2902,-3.429,NA,NA,NA,NA,NA,NA,NA
64,13,Qiang et al. 2014,106.23,28.97,18.4,1030.7,Non-forest,6,10,3.67,0.192,0.1706,0.0509,0.2662,0.6868,NA,NA,NA,NA,NA,NA,NA
65,13,Qiang et al. 2014,106.23,28.97,18.4,1030.7,Non-forest,6,10,3.67,0.3761,0.4435,0.7116,0.3573,0.6057,NA,NA,NA,NA,NA,NA,NA
66,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5,2.5,4.72,0.2808,0.1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5,2.5,2.62,0.507,0.4238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5,7.5,4.37,0.1796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5,7.5,2.02,0.1428,0.1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5,15,3.98,0.1316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,14,Su 2006,100.19,39.32,7.6,116.8,Non-forest,5,15,1.69,0.1533,0.1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,15,Zhang et al. 2012,105.72,34.58,NA,540,Forest,9,10,5.08,0.2738,0.4618,-0.7027,0.4739,0.1449,NA,NA,NA,NA,NA,NA,NA
