No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (°„C),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
862,148,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,15,5,13.8,0.0212,-0.6727,-0.1823,NA,-0.704,NA,NA,NA,NA,NA,NA,NA
863,148,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,20,5,13.8,-0.0346,-1.0484,-0.1823,NA,-0.7669,NA,NA,NA,NA,NA,NA,NA
864,148,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,5,15,13.49,0.0523,-0.5748,-0.1823,NA,-0.2124,NA,NA,NA,NA,NA,NA,NA
865,148,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,10,15,13.49,-0.0543,-0.8028,-0.1823,NA,-0.6642,NA,NA,NA,NA,NA,NA,NA
866,148,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,15,15,13.49,-0.0156,-0.961,-0.2513,NA,-0.7751,NA,NA,NA,NA,NA,NA,NA
867,148,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,20,15,13.49,-0.016,-1.0198,-0.1823,NA,-0.7293,NA,NA,NA,NA,NA,NA,NA
868,149,Liu 2003,106.47,36.02,6.9,420,Non-forest,NA,10,8.51,-0.0241,0.0893,NA,0.0269,-1.1208,NA,NA,NA,NA,NA,NA,NA
869,149,Liu 2003,106.47,36.02,6.9,420,Non-forest,NA,30,6.26,0.0886,-0.1335,NA,0.0913,-0.3478,NA,NA,NA,NA,NA,NA,NA
870,149,An and Huang 2006,106.47,36.01,7,420,Non-forest,18,10,4.95,0.7451,1.2879,NA,0.7676,0.022,NA,NA,NA,0.5663,0.6708,0.0312,0.3862
871,149,An and Huang 2006,106.47,36.01,7,420,Non-forest,8,10,4.95,0.6519,0.3185,NA,0.6028,0.0055,NA,NA,NA,0.5065,0.5754,0.067,0.6064
872,149,An and Huang 2006,106.47,36.01,7,420,Non-forest,18,30,4.35,0.2807,0.8473,NA,0.7715,-0.0122,NA,NA,NA,-0.2831,1.1356,0.2351,0.3743
873,149,An and Huang 2006,106.47,36.01,7,420,Non-forest,8,30,4.35,0.2705,0.4055,NA,0.5711,-0.0061,NA,NA,NA,-0.4125,0.7872,0.2439,-0.1738
874,149,Cheng et al. 2010,106.48,36.01,7,420,Non-forest,3,2.5,10.28,0.4514,-0.5355,NA,0.4846,-0.8765,0.741,0.2948,0.5847,NA,NA,NA,NA
875,149,Cheng et al. 2010,106.47,36.01,7,420,Non-forest,13,2.5,10.28,0.3211,0.6747,NA,0.4771,-0.8268,0.4313,0.0142,0.3176,NA,NA,NA,NA
876,149,Cheng et al. 2010,106.47,36.01,7,420,Non-forest,23,2.5,10.28,0.4784,-0.3637,NA,0.7147,-0.0054,0.7549,0.3716,0.297,NA,NA,NA,NA
877,149,Cheng et al. 2010,106.48,36.01,7,420,Non-forest,3,12.5,9.76,0.3951,0.1823,NA,0.4651,-0.8703,0.9163,0.2088,0.9094,NA,NA,NA,NA
878,149,Cheng et al. 2010,106.47,36.01,7,420,Non-forest,13,12.5,9.76,0.2927,1.1314,NA,0.3605,-0.8308,0.5347,-0.6076,0.7837,NA,NA,NA,NA
879,149,Cheng et al. 2010,106.47,36.01,7,420,Non-forest,23,12.5,9.76,0.2394,0.0247,NA,0.3229,-0.4969,0.5935,-0.2187,0.7994,NA,NA,NA,NA
880,149,Cheng et al. 2010,106.48,36.01,7,420,Non-forest,3,30,8.03,0.3684,0.3939,NA,0.5468,-0.5496,0.3277,-0.6604,0.4956,NA,NA,NA,NA
881,149,Cheng et al. 2010,106.47,36.01,7,420,Non-forest,13,30,8.03,-0.1122,1.1325,NA,0.0934,-0.7797,-0.4261,-1.3535,0.1568,NA,NA,NA,NA
882,149,Cheng et al. 2010,106.47,36.01,7,420,Non-forest,23,30,8.03,-0.3823,0.0339,NA,-0.2367,-0.1939,-0.2809,-1.1499,0.6644,NA,NA,NA,NA
883,149,Jing et al. 2014,106.28,36,7,425,Non-forest,20,10,2.33,0.1173,-0.6456,-0.2373,NA,-0.7081,NA,NA,NA,NA,NA,NA,NA
884,149,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,10,5,13.8,0.1413,-0.3191,-0.2513,NA,-0.1139,NA,NA,NA,NA,NA,NA,NA
885,149,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,20,5,13.8,0.1199,-0.768,-0.2513,NA,-0.5723,NA,NA,NA,NA,NA,NA,NA
886,149,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,30,5,13.8,0.1806,-0.6331,-0.1823,NA,-0.3435,NA,NA,NA,NA,NA,NA,NA
887,149,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,10,15,13.49,0.1612,-0.3343,-0.2513,NA,-0.7618,NA,NA,NA,NA,NA,NA,NA
888,149,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,20,15,13.49,0.0916,-0.919,-0.2513,NA,-0.5976,NA,NA,NA,NA,NA,NA,NA
889,149,Jin et al. 2014a,106.47,36.02,6.9,420,Non-forest,30,15,13.49,0.1546,-0.6348,-0.1823,NA,-0.3883,NA,NA,NA,NA,NA,NA,NA
890,149,Xiang et al. 2017,106.47,36.01,6.9,419.1,Non-forest,18,10,7.66,0.4809,0.4881,NA,NA,-0.6503,NA,NA,NA,NA,NA,NA,NA
891,149,Xiang et al. 2017,106.47,36.01,6.9,419.1,Non-forest,18,30,6.35,0.1571,0.3171,NA,NA,0.3365,NA,NA,NA,NA,NA,NA,NA
892,149,Xiang et al. 2017,106.47,36.01,6.9,419.1,Non-forest,28,10,7.66,0.3039,0.5803,NA,NA,-0.7929,NA,NA,NA,NA,NA,NA,NA
893,149,Xiang et al. 2017,106.47,36.01,6.9,419.1,Non-forest,28,30,6.35,0.3263,0.7153,NA,NA,0.2609,NA,NA,NA,NA,NA,NA,NA
894,149,Chen et al. 2018,106.47,36.02,7.1,420,Non-forest,NA,10,6.87,0.3003,-0.1875,NA,NA,NA,0.1667,NA,NA,NA,NA,NA,NA
895,150,Zhao et al. 2019b,107.5,37.82,7.7,289,Non-forest,15,5,4.11,-0.1867,-0.6506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,151,Zhao et al. 2019b,107.5,37.82,7.7,289,Forest,15,5,4.11,-0.7103,-0.9383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
897,152,Zhao et al. 2019b,107.5,37.82,7.7,289,Non-forest,15,5,4.11,0.0097,-0.4964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
898,153,Guo 2009,106.39,36.25,5,425,Non-forest,2,2.5,14.52,0.2721,0.2686,NA,0.2567,-0.6192,0.4802,0.7083,NA,-0.0542,0.4873,0.0794,0.3503
899,153,Guo 2009,106.39,36.25,5,425,Non-forest,5,2.5,14.52,0.4883,0.4364,NA,0.4019,-1.0012,0.5405,0.4176,NA,-0.0051,0.4924,0.0931,0.4533
900,153,Guo 2009,106.39,36.25,5,425,Non-forest,12,2.5,14.52,0.4367,0.3648,NA,0.2684,-0.9271,0.7488,0.7719,NA,0.0881,0.7817,0.1163,0.6218
901,153,Guo 2009,106.39,36.25,5,425,Non-forest,23,2.5,14.52,0.7448,0.6349,NA,0.5971,-0.6601,0.9463,1.0055,NA,0.1183,0.8695,0.1687,0.6953
902,153,Guo 2009,106.39,36.25,5,425,Non-forest,35,2.5,14.52,0.6831,0.5695,NA,0.5212,-0.8774,0.8793,0.9678,NA,0.0116,0.7811,0.1513,0.6483
903,153,Guo 2009,106.39,36.25,5,425,Non-forest,55,2.5,14.52,0.7017,0.5836,NA,0.5029,-0.83,0.9383,0.9757,NA,0.0474,0.8034,0.1549,0.6578
904,153,Guo 2009,106.39,36.25,5,425,Non-forest,75,2.5,14.52,0.8672,0.7659,NA,0.6999,-0.7788,1.0356,0.9978,NA,0.0112,0.9886,0.1554,0.7463
905,153,Guo 2009,106.39,36.25,5,425,Non-forest,2,7.5,14.03,0.2722,0.2506,NA,0.1989,-0.7221,0.3608,0.7717,NA,-0.0419,0.4196,0.0465,0.3371
906,153,Guo 2009,106.39,36.25,5,425,Non-forest,5,7.5,14.03,0.4696,0.3927,NA,0.3587,-0.7942,0.3839,0.308,NA,0.0102,0.4327,0.047,0.4056
907,153,Guo 2009,106.39,36.25,5,425,Non-forest,12,7.5,14.03,0.2569,0.2555,NA,0.0813,-0.7659,0.6424,0.9517,NA,0.0883,0.7079,0.0809,0.5934
908,153,Guo 2009,106.39,36.25,5,425,Non-forest,23,7.5,14.03,0.6992,0.5793,NA,0.4662,-0.2903,0.8923,1.0752,NA,0.1274,0.812,0.1511,0.7309
909,153,Guo 2009,106.39,36.25,5,425,Non-forest,35,7.5,14.03,0.5749,0.4904,NA,0.3296,-0.936,0.8013,1.1327,NA,0.0286,0.7229,0.1067,0.6476
910,153,Guo 2009,106.39,36.25,5,425,Non-forest,55,7.5,14.03,0.6061,0.5358,NA,0.4451,-0.4318,0.9032,1.0912,NA,0.0645,0.7427,0.1239,0.6848
911,153,Guo 2009,106.39,36.25,5,425,Non-forest,75,7.5,14.03,0.7603,0.6995,NA,0.5512,-0.3964,0.9832,1.1353,NA,0.0165,0.9245,0.1034,0.7996
912,153,Guo 2009,106.39,36.25,5,425,Non-forest,2,15,14.42,0.2049,0.2057,NA,0.2409,-0.7783,0.1024,0.5662,NA,-0.0528,0.2045,0.0438,0.2587
913,153,Guo 2009,106.39,36.25,5,425,Non-forest,5,15,14.42,0.3754,0.3461,NA,0.3922,-0.7866,0.2081,0.3314,NA,0.0307,0.2522,0.0443,0.3264
914,153,Guo 2009,106.39,36.25,5,425,Non-forest,12,15,14.42,0.1551,0.0599,NA,0.1896,-0.7417,0.2306,0.7738,NA,0.1014,0.3852,0.0712,0.5295
915,153,Guo 2009,106.39,36.25,5,425,Non-forest,23,15,14.42,0.521,0.4807,NA,0.5478,-0.5178,0.5865,0.881,NA,0.1434,0.5735,0.1429,0.6458
916,153,Guo 2009,106.39,36.25,5,425,Non-forest,35,15,14.42,0.3513,0.3417,NA,0.4764,-0.7741,0.5407,1.0643,NA,0.0526,0.4887,0.0644,0.5607
917,153,Guo 2009,106.39,36.25,5,425,Non-forest,55,15,14.42,0.4943,0.4615,NA,0.5,-0.6875,0.5083,1.1566,NA,0.087,0.5619,0.1077,0.621
918,153,Guo 2009,106.39,36.25,5,425,Non-forest,75,15,14.42,0.5941,0.6095,NA,0.6682,-0.6218,0.5638,1.1601,NA,0.0426,0.6527,0.0717,0.6984
919,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,78,10,3.39,1.9876,2.0289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,73,10,3.39,2.182,1.9459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
921,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,58,10,3.39,1.9029,2.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,23,10,3.39,2.065,1.8118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
923,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,15,10,3.39,1.4038,1.3477,NA,1.9459,NA,NA,NA,NA,NA,NA,NA,NA
924,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,9,10,3.39,1.5135,1.438,NA,1.4053,NA,NA,NA,NA,NA,NA,NA,NA
925,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,3,10,3.39,0.4104,0.2171,NA,0.6131,NA,NA,NA,NA,NA,NA,NA,NA
926,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,78,30,4.93,1.4353,1.707,NA,1.5702,NA,NA,NA,NA,NA,NA,NA,NA
927,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,73,30,4.93,1.493,1.5645,NA,1.5041,NA,NA,NA,NA,NA,NA,NA,NA
928,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,58,30,4.93,1.3914,1.6801,NA,1.6977,NA,NA,NA,NA,NA,NA,NA,NA
929,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,23,30,4.93,1.5384,1.5439,NA,1.6094,NA,NA,NA,NA,NA,NA,NA,NA
930,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,15,30,4.93,0.3068,0.3973,NA,0.2076,NA,NA,NA,NA,NA,NA,NA,NA
931,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,9,30,4.93,0.5124,0.5905,NA,0.5031,NA,NA,NA,NA,NA,NA,NA,NA
932,153,Huang et al. 2009,106.45,35.78,5,425,Non-forest,3,30,4.93,-0.1115,0.0241,NA,0.6539,NA,NA,NA,NA,NA,NA,NA,NA
933,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,1,2.5,16.67,-0.2688,-0.1728,-0.2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
934,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,1,10,17.44,-0.3719,-0.2714,-0.2805,NA,NA,NA,NA,NA,NA,NA,NA,NA
935,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,1,20,17.8,-0.3581,-0.3233,-0.1878,NA,NA,NA,NA,NA,NA,NA,NA,NA
936,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,1,32.5,16.85,-0.5956,-0.3275,-0.2268,NA,NA,NA,NA,NA,NA,NA,NA,NA
937,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,3,2.5,16.67,-0.2642,-0.1178,-0.2141,NA,NA,NA,NA,NA,NA,NA,NA,NA
938,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,3,10,17.44,-0.2421,-0.1749,-0.2627,NA,NA,NA,NA,NA,NA,NA,NA,NA
939,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,3,20,17.8,-0.1951,-0.1036,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
940,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,3,32.5,16.85,-0.6415,-0.2495,-0.2268,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,5,2.5,16.67,-0.1417,0.0094,-0.1407,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,5,10,17.44,-0.3378,-0.0474,-0.2144,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,5,20,17.8,0.0297,0.0556,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
944,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,5,32.5,16.85,0.0415,0.1335,-0.1591,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,6,2.5,16.67,-0.3265,-0.665,-0.3752,NA,NA,NA,NA,NA,NA,NA,NA,NA
946,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,6,10,17.44,-0.805,-0.6568,-0.3747,NA,NA,NA,NA,NA,NA,NA,NA,NA
947,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,6,20,17.8,-0.8484,-0.742,-0.2565,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,6,32.5,16.85,-0.8748,-0.9018,-0.2268,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,8,2.5,16.67,-0.409,-0.4103,-0.3009,NA,NA,NA,NA,NA,NA,NA,NA,NA
950,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,8,10,17.44,-0.6563,-0.6217,-0.3988,NA,NA,NA,NA,NA,NA,NA,NA,NA
951,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,8,20,17.8,-0.9555,-0.7028,-0.3093,NA,NA,NA,NA,NA,NA,NA,NA,NA
952,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,8,32.5,16.85,-1.6381,-0.9594,-0.3996,NA,NA,NA,NA,NA,NA,NA,NA,NA
953,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,11,2.5,16.67,-0.2829,-0.1467,-0.1603,NA,NA,NA,NA,NA,NA,NA,NA,NA
954,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,11,10,17.44,-0.4652,-0.4101,-0.2279,NA,NA,NA,NA,NA,NA,NA,NA,NA
955,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,11,20,17.8,-0.5765,-0.4103,-0.1408,NA,NA,NA,NA,NA,NA,NA,NA,NA
956,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,11,32.5,16.85,-0.7255,-0.4831,-0.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
957,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,15,2.5,16.67,-0.2972,-0.2473,-0.1868,NA,NA,NA,NA,NA,NA,NA,NA,NA
958,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,15,10,17.44,-0.5385,-0.3558,-0.3284,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,15,20,17.8,-0.3298,-0.368,-0.2216,NA,NA,NA,NA,NA,NA,NA,NA,NA
960,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,15,32.5,16.85,-0.3984,-0.3008,-0.2995,NA,NA,NA,NA,NA,NA,NA,NA,NA
961,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,20,2.5,16.67,0.2288,0.0313,-0.2564,NA,NA,NA,NA,NA,NA,NA,NA,NA
962,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,20,10,17.44,-0.4021,-0.3916,-0.3171,NA,NA,NA,NA,NA,NA,NA,NA,NA
963,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,20,20,17.8,-0.5019,-0.4745,-0.1878,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,153,Rao et al. 2017,106.4,36.23,5,425,Non-forest,20,32.5,16.85,-0.4979,-0.4469,-0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA
965,153,Guo et al. 2018b,106.4,36.225,5,424,Non-forest,5,5,9.05,0.2398,0.5079,NA,0.6109,-0.6528,NA,NA,NA,NA,NA,NA,NA
966,153,Guo et al. 2018b,106.4,36.225,5,424,Non-forest,15,5,9.05,0.8646,1.2899,NA,1.4434,0.1311,NA,NA,NA,NA,NA,NA,NA
967,153,Guo et al. 2018b,106.4,36.225,5,424,Non-forest,30,5,9.05,1.3514,1.5826,NA,1.506,-0.2817,NA,NA,NA,NA,NA,NA,NA
968,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,9,5,4.94,0.5474,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,7,5,4.94,0.5683,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,5,4.94,0.6043,0.5285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,3,5,4.94,-0.0627,-0.1752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,5,4.94,0.5602,0.4633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
973,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,9,15,5.41,0.3399,0.4169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
974,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,7,15,5.41,0.3386,0.3463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
975,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,15,5.41,0.3399,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,3,15,5.41,-0.2204,-0.2538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,15,5.41,0.1988,0.1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,9,25,4.62,0.5288,0.6272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,7,25,4.62,0.3475,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,25,4.62,0.2275,0.1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,3,25,4.62,-0.1121,-0.1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,25,4.62,0.2647,0.3087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,9,35,4.29,0.4577,0.4055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,7,35,4.29,0.0719,0.0408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,35,4.29,-0.2684,-0.3159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,3,35,4.29,-0.1399,-0.3159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
987,154,Li et al. 2010,106.43,36.27,5,425,Non-forest,5,35,4.29,0.1981,0.0991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,155,Li 2006,101.64,37,3.7,457.8,Forest,1,10,16.59,-0.2399,-0.0645,-0.4055,-0.1742,NA,NA,NA,NA,NA,NA,NA,NA
989,155,Li 2006,101.64,37,3.7,457.8,Forest,5,10,16.59,0.3454,0.2719,-0.4055,0.311,-1.7677,NA,NA,NA,NA,NA,NA,NA
990,155,Li 2006,101.64,37,3.7,457.8,Forest,18,10,16.59,0.9149,0.9651,0,0.6176,-1.2712,NA,NA,NA,NA,NA,NA,NA
991,155,Li 2006,101.64,37,3.7,457.8,Forest,1,30,12.53,0.1301,-0.069,-0.3365,0.1148,NA,NA,NA,NA,NA,NA,NA,NA
992,155,Li 2006,101.64,37,3.7,457.8,Forest,5,30,12.53,-0.3319,-0.5108,-0.5596,-0.3291,NA,NA,NA,NA,NA,NA,NA,NA
993,155,Li 2006,101.64,37,3.7,457.8,Forest,18,30,12.53,0.097,-0.069,-1.2528,-0.2256,NA,NA,NA,NA,NA,NA,NA,NA
994,155,Li 2006,101.64,37,3.7,457.8,Forest,1,50,23.66,-0.3909,0.6061,-0.6931,-0.7786,0.3761,NA,NA,NA,NA,NA,NA,NA
995,155,Li 2006,101.64,37,3.7,457.8,Forest,5,50,23.66,-1.3199,0,-0.6931,-0.6885,0.5021,NA,NA,NA,NA,NA,NA,NA
996,155,Li 2006,101.64,37,3.7,457.8,Forest,18,50,23.66,-2.2977,-0.6931,-0.6931,-1.6282,NA,NA,NA,NA,NA,NA,NA,NA
997,156,Li et al. 2012b,101.41,37.56,-0.7,500,Non-forest,NA,5,30.1,-0.2306,-0.3939,0.1121,-0.1632,-0.5781,NA,NA,NA,NA,NA,NA,NA
998,156,Li et al. 2012b,101.41,37.56,-0.7,500,Non-forest,NA,15,30.9,-0.2823,-0.4456,0.1611,-0.6653,-0.5016,NA,NA,NA,NA,NA,NA,NA
999,156,Li et al. 2012b,101.41,37.56,-0.7,500,Non-forest,NA,30,28.1,-0.3654,-0.3292,0.0979,-0.5615,-0.7027,NA,NA,NA,NA,NA,NA,NA
1000,157,Qiao et al. 2009,100.21,37.3,-0.6,423.4,Non-forest,8,5,17.07,0.4659,0.4615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,157,Qiao et al. 2009,100.21,37.3,-0.6,423.4,Non-forest,8,15,14.01,0.4822,0.6931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,157,Qiao et al. 2009,100.21,37.3,-0.6,423.4,Non-forest,8,25,9.89,0.3715,0.7124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,10,15.37,-0.0583,0.1252,-0.2469,0.5089,-1.149,NA,NA,NA,NA,NA,NA,NA
1004,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,10,15.37,0.2284,0.1823,0.0896,0.3153,-0.8165,NA,NA,NA,NA,NA,NA,NA
1005,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,10,15.37,0.4192,0.3365,-0.47,0.4851,-2.0794,NA,NA,NA,NA,NA,NA,NA
1006,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,10,15.37,0.3472,0.2364,0.2231,0.05,NA,NA,NA,NA,NA,NA,NA,NA
1007,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,30,13.17,-0.0874,0.1942,-0.3001,-0.1669,NA,NA,NA,NA,NA,NA,NA,NA
1008,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,30,13.17,0.334,0.069,-0.077,0.0282,2.4492,NA,NA,NA,NA,NA,NA,NA
1009,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,30,13.17,-0.3815,-0.4418,-0.3001,-0.3009,NA,NA,NA,NA,NA,NA,NA,NA
1010,158,Gao et al. 2008,101.57,36.97,2.8,508,Forest,20,30,13.17,0.1772,0,0.1054,-0.0151,NA,NA,NA,NA,NA,NA,NA,NA
1011,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,1,10,2.74,-0.0687,0.0403,0.018,0.0617,0.3555,0.24,-0.0299,-0.5278,-1.8949,-0.2338,0.1287,0.7502
1012,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,5,10,2.74,0.2696,0.019,0.0357,0.3457,0.252,0.1574,-0.1969,-0.8558,-0.5141,-0.7218,0.2522,0.9457
1013,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,7,10,2.74,0.0722,-0.0564,0.018,0.2759,0.2567,0.5707,-0.2679,-0.9588,-1.5965,-0.6117,0.1268,0.9664
1014,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,10,10,2.74,0.4638,0.2027,0.018,0.4622,0.4055,0.4349,0.1791,-0.2656,-0.8561,-0.9092,0.3579,1.0398
1015,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,15,10,2.74,0.2379,0.1236,0,0.3678,0.6006,0.2541,-0.0122,-0.4763,-1.4061,-1.1401,0.2182,1.1018
1016,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,20,10,2.74,0.3823,0.2592,0.1198,0.7771,0.3808,0.8482,-0.009,-0.0394,-1.4331,-0.5703,0.3406,1.1018
1017,159,"Wang et al. 2009a, Xue et al. 2009",109.3,36.85,8.8,505.3,Non-forest,25,10,2.74,0.2141,0.1891,0.018,0.3568,0.0931,0.2386,-0.3691,-0.1661,-2.1972,-0.6315,0.183,0.964
